split,case,geology_type,method,rmse,normalized_rmse,mae,bias,correlation,ssim,polarity_accuracy,gradient_rmse,gradient_magnitude_rmse,gradient_correlation,boundary_sharpness_ratio,iou,area_ratio,relative_area_error,normalized_centroid_distance,orientation_error_degrees,truth_object_count,estimate_object_count,object_count_error,multi_interface_mean_distance_pixels,multi_interface_median_distance_pixels,multi_interface_max_distance_pixels,mean_posterior_std,uncertainty_error_spearman
ID,0,intrusions,SimPEG L2,0.23795022070407867,0.9653136033036149,0.08748125284910202,0.04374365508556366,0.31177929374312857,0.3710796560834641,1.0,0.07151206195789059,0.07147087659737476,-0.13076136742793767,0.03801610156835529,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,,
ID,0,intrusions,Unconditional,0.22317616641521454,0.905378396944959,0.09709516912698746,0.016827866435050964,0.3447430047336887,0.5300176631597161,1.0,0.07190162101903919,0.06933180713885252,0.15933388385302716,0.5031733408772946,0.06443298969072164,0.40476190476190477,0.5952380952380952,0.13594695816081095,72.01281047232949,1.0,1.0,0.0,,,,0.09060122817754745,0.9064450713456463
ID,0,intrusions,Oracle conditional,0.21420474350452423,0.8689832360114914,0.10002884268760681,-0.002593014156445861,0.4347265334984898,0.6386606320950803,1.0,0.07075856118631237,0.06726625705080942,0.2919336254203425,0.5965557166505991,0.13704496788008566,0.8061224489795918,0.19387755102040816,0.12760176006539029,33.587758954626395,1.0,1.0,0.0,,,,0.1156654804944992,0.8144106937436946
ID,0,intrusions,Equal mixture,0.2345324605703354,0.9514484749579927,0.09726423025131226,0.0380362868309021,0.20929456854909262,0.4232121312600927,0.7687074829931972,0.07119834010376797,0.0690305564264036,0.1946094167477496,0.5324864170698959,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,0.18684953451156616,0.7501832533853392
ID,1,dykes,SimPEG L2,0.16147686541080475,0.8961299182714171,0.10093440860509872,0.02907133288681507,0.40860928228871973,0.17437795765971617,1.0,0.07907712668399634,0.07652066914569454,0.2826732519308879,0.34542381574745096,0.12949640287769784,0.21235521235521235,0.7876447876447876,0.2625766740761074,20.18204607888762,1.0,1.0,0.0,,,,,
ID,1,dykes,Unconditional,0.1407013088464737,0.7808341589769004,0.06499278545379639,-0.011758840642869473,0.5934456615145919,0.389863615941198,1.0,0.07113058239253653,0.06833824175724947,0.49857852335076064,0.6464298045302495,0.27666666666666667,0.47876447876447875,0.5212355212355212,0.18459545358657697,8.22630576808072,1.0,1.0,0.0,,,,0.17078891396522522,0.5458303839748078
ID,1,dykes,Oracle conditional,0.14002476632595062,0.7770796273783269,0.05835873633623123,0.005048514809459448,0.593711912735571,0.5578816079207107,1.0,0.06919543851727288,0.061380835558881935,0.6285890658099156,0.7345567735924877,0.4111111111111111,0.47104247104247104,0.528957528957529,0.16558594801818707,3.6799021399917935,1.0,1.0,0.0,,,,0.08825939893722534,0.9221604827898529
ID,1,dykes,Equal mixture,0.15333500504493713,0.8509459555676548,0.08398914337158203,0.017633311450481415,0.482343451437097,0.37036557345796567,1.0,0.077007764296746,0.07263066971451569,0.3967751576583751,0.5857836267634507,0.12260536398467432,0.13127413127413126,0.8687258687258688,0.2808657617144155,2.709441128021448,1.0,1.0,0.0,,,,0.21430066227912903,0.6928816529707095
ID,2,dykes,SimPEG L2,0.1510118991136551,0.9529961219024119,0.05241771042346954,0.012605583295226097,0.2881639104439871,0.5006634851211741,1.0,0.09688383263257798,0.0966342400009418,0.029060507438447878,0.03950310295891464,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,,
ID,2,dykes,Unconditional,0.14694353938102722,0.9273217805395483,0.0698343962430954,-0.005668089725077152,0.3335333111556978,0.5011797391290219,1.0,0.09622301522061141,0.09389196041165633,0.19330536456575745,0.3113472355063062,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,0.12834268808364868,0.9125789166708018
ID,2,dykes,Oracle conditional,0.15154394507408142,0.9563537231241442,0.059248507022857666,0.009179646149277687,0.23507258198712222,0.5804678348495544,0.8417721518987342,0.10024754377704496,0.09184551345550544,0.34614216966971084,0.3674893858733651,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,0.09049314260482788,0.7912399693056452
ID,2,dykes,Equal mixture,0.15482021868228912,0.977029418623896,0.06636092066764832,-0.004042848479002714,0.15308197035376808,0.5199851400755998,1.0,0.09743057441546336,0.09496975967969469,0.15921324404109635,0.21450468515077808,0.0,0.0,1.0,,,1.0,0.0,1.0,,,,0.1271575689315796,0.6800961300572677
ID,3,faulted_layers,SimPEG L2,0.5655571222305298,0.9958711406279699,0.496034175157547,-0.07167500257492065,0.15378236589712,0.059913546794825114,0.576969696969697,0.16173053633727147,0.15727603913561436,0.06780039558951906,0.1142948535250932,,,,,,,,,22.265625,22.75,37.5,,
ID,3,faulted_layers,Unconditional,0.6088119745254517,1.0720372030811267,0.5119142532348633,-0.11250840127468109,0.054518931034543486,0.018499649521171092,0.58,0.16652567781239105,0.15104588423213203,0.020929570778291752,0.326178901210806,,,,,,,,,13.588541666666666,12.0,32.0,0.24795818328857422,0.2907175451223021
ID,3,faulted_layers,Oracle conditional,0.5742472410202026,1.0111732881407307,0.5142902135848999,-0.07609999179840088,0.10973711167707685,0.021880084975316825,0.5590909090909091,0.16183471370522648,0.1519826785635195,0.08540748858923806,0.23340467655355407,,,,,,,,,18.411458333333336,18.083333333333332,38.666666666666664,0.34639695286750793,0.4195360103974162
