split,case,geology_type,winner_correlation,winner_gradient_correlation,winner_gradient_rmse,winner_iou,winner_mae,winner_multi_interface_mean_distance_pixels,winner_normalized_centroid_distance,winner_normalized_rmse,winner_orientation_error_degrees,winner_polarity_accuracy,winner_relative_area_error,winner_rmse,winner_ssim
ID,0,intrusions,Oracle conditional,Oracle conditional,Oracle conditional,Oracle conditional,SimPEG L2,,Oracle conditional,Oracle conditional,Oracle conditional,SimPEG L2,Oracle conditional,Oracle conditional,Oracle conditional
ID,1,dykes,Oracle conditional,Oracle conditional,Oracle conditional,Oracle conditional,Oracle conditional,,Oracle conditional,Oracle conditional,Equal mixture,SimPEG L2,Unconditional,Oracle conditional,Oracle conditional
ID,2,dykes,Unconditional,Oracle conditional,Unconditional,SimPEG L2,SimPEG L2,,,Unconditional,,SimPEG L2,SimPEG L2,Unconditional,Oracle conditional
ID,3,faulted_layers,SimPEG L2,Equal mixture,Equal mixture,,Equal mixture,Unconditional,,SimPEG L2,,Equal mixture,,SimPEG L2,SimPEG L2
ID,4,dipping_layers,Unconditional,Oracle conditional,Equal mixture,,Unconditional,Equal mixture,,Unconditional,,Equal mixture,,Unconditional,Unconditional
ID,5,horizontal_layers,SimPEG L2,SimPEG L2,Equal mixture,,Equal mixture,Equal mixture,,SimPEG L2,,SimPEG L2,,SimPEG L2,Equal mixture
ID,6,dipping_layers,Equal mixture,Unconditional,Unconditional,,Unconditional,Unconditional,,Equal mixture,,SimPEG L2,,Equal mixture,Unconditional
ID,7,blobs,Equal mixture,Oracle conditional,Oracle conditional,Equal mixture,Equal mixture,,Equal mixture,Equal mixture,Equal mixture,SimPEG L2,Equal mixture,Equal mixture,Oracle conditional
ID,8,intrusions,Unconditional,Unconditional,Unconditional,Unconditional,Unconditional,,Unconditional,Unconditional,Unconditional,SimPEG L2,Equal mixture,Unconditional,Unconditional
ID,9,dykes,Oracle conditional,Oracle conditional,Oracle conditional,Oracle conditional,Oracle conditional,,Unconditional,Oracle conditional,Equal mixture,SimPEG L2,Unconditional,Oracle conditional,Oracle conditional
ID,10,intrusions,Oracle conditional,Oracle conditional,Oracle conditional,Unconditional,Oracle conditional,,Oracle conditional,Oracle conditional,Oracle conditional,SimPEG L2,Unconditional,Oracle conditional,Oracle conditional
