geology_type,method,n,mean_rmse,median_rmse,std_rmse,sem_rmse
blobs,SimPEG L2,20,0.21925778016448022,0.21207740902900696,0.05443589666468691,0.0121722365358394
blobs,Unconditional,20,0.19710029140114785,0.19266297668218613,0.051001295629761266,0.011404236396870913
blobs,Oracle conditional,20,0.18219683617353438,0.180245503783226,0.06989051597025192,0.015627994469201795
blobs,Equal mixture,20,0.17192236818373202,0.16382060199975967,0.05012937667453217,0.011209269391394628
horizontal_layers,SimPEG L2,19,0.6247346699237823,0.6156956553459167,0.16094400287867014,0.03692308653247591
horizontal_layers,Unconditional,19,0.5227498890537965,0.5336201190948486,0.172938950837428,0.039674916321173544
horizontal_layers,Oracle conditional,19,0.5104762362806421,0.5154920220375061,0.11839959288528441,0.027162729491753263
horizontal_layers,Equal mixture,19,0.4873346247171101,0.5044920444488525,0.13319861624390192,0.030557858296138087
dipping_layers,SimPEG L2,12,0.676961546142896,0.7010230422019958,0.22681738886026304,0.06547654025768045
dipping_layers,Unconditional,12,0.5517883822321892,0.5801261961460114,0.16218905355490337,0.04681994686476705
dipping_layers,Oracle conditional,12,0.5336868713299433,0.5352523326873779,0.1491098237683193,0.04304429844572841
dipping_layers,Equal mixture,12,0.5381862173477808,0.5666309595108032,0.14638294307981423,0.042257115795950206
faulted_layers,SimPEG L2,17,0.6147321480162004,0.6133476495742798,0.15896231163726096,0.03855402361016343
faulted_layers,Unconditional,17,0.5239913489888696,0.5083383917808533,0.18613563504318648,0.045144522586733994
faulted_layers,Oracle conditional,17,0.5272905756445492,0.5312449932098389,0.11241385906648423,0.027264365571435998
faulted_layers,Equal mixture,17,0.5006197831209969,0.5466592907905579,0.13695842192807767,0.03321729646631613
dykes,SimPEG L2,13,0.17122337680596572,0.17405728995800018,0.024770300989983875,0.006870045409851021
dykes,Unconditional,13,0.16983993580708137,0.16478288173675537,0.026860865835302124,0.007449863774810821
dykes,Oracle conditional,13,0.15261047505415404,0.14982543885707855,0.01842143305050957,0.00510918626393379
dykes,Equal mixture,13,0.17317951184052688,0.17572025954723358,0.0215823907342062,0.005985878187636873
intrusions,SimPEG L2,19,0.19988440212450528,0.2021278291940689,0.03955867543288257,0.009075382555382117
intrusions,Unconditional,19,0.17843485898093173,0.16569088399410248,0.03178809864446974,0.007292689978870835
intrusions,Oracle conditional,19,0.19152368526709707,0.19023796916007996,0.04136982854125579,0.009490889574891507
intrusions,Equal mixture,19,0.18047977356534256,0.1774941384792328,0.029565720414600996,0.006782841446327537
