split,case,geology_type,l2_model_rmse,l2_correlation,l2_data_rmse,unconditional_model_rmse,unconditional_correlation,unconditional_data_rmse,unconditional_uncertainty_error_spearman,unconditional_coverage_68,unconditional_coverage_95,oracle_model_rmse,oracle_correlation,oracle_data_rmse,oracle_uncertainty_error_spearman,oracle_coverage_68,oracle_coverage_95,mixture_model_rmse,mixture_correlation,mixture_data_rmse,mixture_uncertainty_error_spearman,mixture_coverage_68,mixture_coverage_95,l2_runtime_seconds,unconditional_runtime_seconds,oracle_runtime_seconds,mixture_runtime_seconds,unconditional_wins_l2,oracle_wins_l2,mixture_wins_l2,oracle_improves_unconditional,mixture_improves_unconditional,oracle_gain_vs_unconditional,mixture_gain_vs_unconditional,mixture_gain_vs_oracle,unconditional_gain_vs_l2,oracle_gain_vs_l2,mixture_gain_vs_l2,best_method
OOD,0,blobs,0.17383162677288055,0.3219348329278232,0.017904929773441377,0.1345597356557846,0.7080495108843436,0.023283365645610836,0.749883831704562,0.165771484375,0.8134765625,0.11453115940093994,0.7954681522270308,0.023904237751873104,0.8589977594533675,0.151123046875,0.271240234375,0.1507101058959961,0.708095343209759,0.023527037270060426,0.545743324570345,0.570556640625,0.98046875,2.1461901664733887,36.037853479385376,36.15345883369446,36.01787495613098,True,True,True,True,False,0.020028576254844666,-0.016150370240211487,-0.03617894649505615,0.03927189111709595,0.05930046737194061,0.02312152087688446,Oracle conditional
OOD,1,horizontal_layers,0.45686012506484985,0.0532798015790377,0.044979597958171726,0.47809717059135437,0.15293495841276364,0.1075264580813877,-0.0826812588625832,0.19140625,0.33349609375,0.4542917013168335,0.09267292103174748,0.1011531747620591,-0.4089217482275889,0.229736328125,0.26708984375,0.453072190284729,0.1358313551705909,0.10430794563904111,-0.07184588109202347,0.215576171875,0.403076171875,2.7015738487243652,36.2332489490509,36.02911901473999,36.094067096710205,False,True,True,True,True,0.023805469274520874,0.025024980306625366,0.0012195110321044922,-0.021237045526504517,0.0025684237480163574,0.0037879347801208496,Equal mixture
OOD,2,blobs,0.0869760811328888,0.3447890430116008,0.018646376078997877,0.12235043942928314,-0.019391548790699736,0.019775221870549625,0.75916809340637,0.90234375,0.9638671875,0.11308188736438751,-0.04738732959006456,0.024402335180622986,0.8488303388703072,0.6943359375,0.8671875,0.10095818340778351,0.06115779703141282,0.019604246868572248,0.7487643825434339,0.919189453125,0.97265625,2.103590488433838,36.13624954223633,36.119009494781494,36.054636001586914,False,False,False,True,True,0.00926855206489563,0.021392256021499634,0.012123703956604004,-0.03537435829639435,-0.026105806231498718,-0.013982102274894714,SimPEG L2
OOD,3,faulted_layers,1.0285215377807617,-0.2537303893651106,0.38308574151228086,0.8479112386703491,0.053487318124612174,0.30645442030785003,-0.0304408572973392,0.226318359375,0.288818359375,0.8373240232467651,0.0607067210816359,0.3231365262839819,0.03839192003024044,0.318359375,0.49267578125,0.7415253520011902,0.4108827566420622,0.3140993966391872,0.33622884078386983,0.294677734375,0.487060546875,2.129622459411621,36.12252616882324,36.088050365448,36.1257107257843,True,True,True,True,True,0.010587215423583984,0.10638588666915894,0.09579867124557495,0.1806102991104126,0.19119751453399658,0.28699618577957153,Equal mixture
OOD,4,blobs,0.2234346568584442,0.4764198844938451,0.011997186124105403,0.16448180377483368,0.7661991363033858,0.034011302562593174,0.4889531994522594,0.450927734375,0.7421875,0.17491371929645538,0.6989831330892304,0.034379353345567576,0.3520006331215059,0.366455078125,0.501953125,0.18772487342357635,0.6902840434420634,0.03132691152251612,0.4422008962029194,0.533935546875,0.77490234375,2.7993106842041016,36.09018802642822,36.03554940223694,36.111156702041626,True,True,True,False,False,-0.010431915521621704,-0.023243069648742676,-0.012811154127120972,0.058952853083610535,0.04852093756198883,0.03570978343486786,Unconditional
OOD,5,dykes,0.2543911039829254,0.048492214399627254,0.10241179264331143,0.33850806951522827,-0.1555585805123599,0.10510212606061363,0.5962722265993924,0.132080078125,0.73193359375,0.31707045435905457,-0.04059088781716758,0.10922392026668055,0.6768237422841783,0.022705078125,0.049560546875,0.2964300215244293,-0.13221004174276765,0.10235940245704028,0.4179976928879995,0.44287109375,0.813720703125,2.1418075561523438,36.04593348503113,36.04700064659119,36.11448287963867,False,False,False,True,True,0.021437615156173706,0.04207804799079895,0.020640432834625244,-0.08411696553230286,-0.06267935037612915,-0.042038917541503906,SimPEG L2
OOD,6,dipping_layers,0.4780190587043762,0.23636027102716886,0.202328979345461,0.4192218780517578,0.468289424444783,0.3049788623187422,0.697907876031504,0.70458984375,0.966064453125,0.3740745782852173,0.6272108229832339,0.31171960667744836,0.35325339333278566,0.80029296875,0.955810546875,0.4259624481201172,0.43228863978816084,0.2999069338441113,0.3076189103438797,0.6279296875,0.9443359375,2.7506020069122314,36.13890767097473,36.029176235198975,36.071534156799316,True,True,True,True,False,0.04514729976654053,-0.006740570068359375,-0.0518878698348999,0.05879718065261841,0.10394448041915894,0.05205661058425903,Oracle conditional
OOD,7,blobs,0.28757360577583313,0.4933449654523354,0.13215104180551562,0.25314590334892273,0.6538973191009628,0.12789372117803816,0.4663633062973268,0.53955078125,0.8759765625,0.20293249189853668,0.7927272830728607,0.13865369068489256,0.31165452277208583,0.12939453125,0.357421875,0.2265523374080658,0.7514264664042397,0.12613167502766245,0.15403120776917534,0.75048828125,0.908203125,2.160402536392212,36.12564206123352,36.00473690032959,36.15870928764343,True,True,True,True,True,0.05021341145038605,0.026593565940856934,-0.023619845509529114,0.0344277024269104,0.08464111387729645,0.061021268367767334,Oracle conditional
OOD,8,faulted_layers,0.4472714960575104,0.19947809365322858,0.0661067389665997,0.5016818642616272,-0.058037416614245926,0.08165072335286916,0.41799281423824874,0.157958984375,0.674560546875,0.5339136719703674,-0.0885214549259539,0.10578433052685438,0.5301759803896479,0.45556640625,0.617919921875,0.4764953851699829,0.08413601923711515,0.09442037667963923,0.4691039361852705,0.29736328125,0.674560546875,2.7732038497924805,36.12641167640686,36.07120895385742,36.0996356010437,False,False,False,False,True,-0.032231807708740234,0.025186479091644287,0.05741828680038452,-0.05441036820411682,-0.08664217591285706,-0.029223889112472534,SimPEG L2
OOD,9,dykes,0.20886175334453583,0.5263180734081637,0.17782404198664659,0.21082618832588196,0.5031253166479358,0.27441772277424037,0.8919622471654638,0.6982421875,0.975830078125,0.18919478356838226,0.6343962566770243,0.30400402289107764,0.8674055875292586,0.419921875,0.66455078125,0.21564114093780518,0.469481598739005,0.2826046351948371,0.3254138058815069,0.9033203125,0.97021484375,2.734041213989258,36.163439989089966,36.05387735366821,36.15224599838257,False,True,False,True,False,0.021631404757499695,-0.004814952611923218,-0.026446357369422913,-0.0019644349813461304,0.019666969776153564,-0.006779387593269348,Oracle conditional
