geology_type,method,n,mean_rmse,median_rmse,std_rmse,sem_rmse
blobs,SimPEG L2,20,0.2224127933382988,0.2291247397661209,0.06293925046452019,0.014073644249155234
blobs,Unconditional,20,0.21710994839668274,0.22072216123342514,0.06876008389124486,0.015375222171941174
blobs,Oracle conditional,20,0.2073309298604727,0.2071792110800743,0.06128382944108975,0.013703480855177962
blobs,Equal mixture,20,0.18922899030148982,0.20130649954080582,0.049472031923099784,0.011062282636509076
horizontal_layers,SimPEG L2,25,0.5644795858860016,0.5285752415657043,0.17427559316594876,0.034855118633189755
horizontal_layers,Unconditional,25,0.47870916962623594,0.5032778978347778,0.10107431113647188,0.020214862227294374
horizontal_layers,Oracle conditional,25,0.5175541126728058,0.5242671370506287,0.08940875480785693,0.017881750961571387
horizontal_layers,Equal mixture,25,0.4972303223609924,0.4897926151752472,0.09308682988475456,0.018617365976950913
dipping_layers,SimPEG L2,16,0.6012248042970896,0.5924459099769592,0.09132386883941006,0.022830967209852514
dipping_layers,Unconditional,16,0.5623621214181185,0.5887793898582458,0.10535883449809463,0.02633970862452366
dipping_layers,Oracle conditional,16,0.5269031208008528,0.5181418061256409,0.07640027155340444,0.01910006788835111
dipping_layers,Equal mixture,16,0.543630737811327,0.5529426038265228,0.06773155243265594,0.016932888108163985
faulted_layers,SimPEG L2,14,0.6077038411583219,0.6025597155094147,0.19024860051631026,0.050846077246089784
faulted_layers,Unconditional,14,0.5704274624586105,0.5273836553096771,0.1904747776763765,0.05090652563478131
faulted_layers,Oracle conditional,14,0.5504111668893269,0.5197913646697998,0.12571316769508697,0.03359825732293382
faulted_layers,Equal mixture,14,0.5458237890686307,0.5378254055976868,0.14467576610800667,0.0386662249246573
dykes,SimPEG L2,10,0.20117524415254592,0.21187066286802292,0.0415126315341641,0.013127446731528852
dykes,Unconditional,10,0.21607861071825027,0.203322634100914,0.05185745707646393,0.016398767802604252
dykes,Oracle conditional,10,0.1967687077820301,0.19202616065740585,0.05347812819385105,0.016911269009503592
dykes,Equal mixture,10,0.20694444179534913,0.21005848050117493,0.043286217898310955,0.013688303985300939
intrusions,SimPEG L2,15,0.24990967959165572,0.23999056220054626,0.07551179320974373,0.01949706116957305
intrusions,Unconditional,15,0.1704690267642339,0.18330901861190796,0.03278001876819927,0.008463764451840156
intrusions,Oracle conditional,15,0.15531672090291976,0.16095632314682007,0.0425229119167212,0.010979368645713741
intrusions,Equal mixture,15,0.19074015617370604,0.18085815012454987,0.040814519120590344,0.010538263522500705
