split,method,metric,n,mean,sd,ci_low,ci_high
ID,SimPEG L2,rmse,100,0.4085280694067478,0.2518543566389639,0.3585547010293555,0.4585014377841401
ID,SimPEG L2,correlation,100,0.14299724216564724,0.3229670158298883,0.07891357940435292,0.20708090492694156
ID,SimPEG L2,ssim,100,0.14890450638257818,0.16277793656835596,0.11660583227425914,0.18120318049089723
ID,SimPEG L2,iou,52,0.08643782493182012,0.13635602093803767,0.048476066284410084,0.12439958357923014
ID,Unconditional,rmse,100,0.35001748725771903,0.21266363824505333,0.3078204076585314,0.39221456685690664
ID,Unconditional,correlation,100,0.38807480157030705,0.3510141165619332,0.3184259855374752,0.4577236176031389
ID,Unconditional,ssim,100,0.22589151238610128,0.21648519650343137,0.18293615271913877,0.2688468720530638
ID,Unconditional,iou,52,0.2847098750143214,0.18258449948160163,0.23387802575385944,0.33554172427478335
ID,Oracle conditional,rmse,100,0.3433405365049839,0.19585945719357,0.3044777709957843,0.3822033020141835
ID,Oracle conditional,correlation,100,0.3982715400668652,0.34764599931848233,0.3292910315669719,0.4672520485667585
ID,Oracle conditional,ssim,100,0.28078231501742557,0.2657181069642258,0.2280580777992386,0.33350655223561254
ID,Oracle conditional,iou,52,0.2996257301344621,0.2302486233246688,0.23552410405722868,0.3637273562116955
ID,Equal mixture,rmse,100,0.3334702550619841,0.19208085294146376,0.29535724661382107,0.3715832635101471
ID,Equal mixture,correlation,100,0.40362951128193303,0.30388926097904145,0.3433312889779647,0.46392773358590134
ID,Equal mixture,ssim,100,0.20681031016460966,0.1953788202611766,0.16804291345029143,0.24557770687892788
ID,Equal mixture,iou,52,0.19520376427715302,0.23887652389739875,0.12870011534150355,0.2617074132128025
OOD,SimPEG L2,rmse,100,0.4244809379428625,0.2185204275333161,0.3811217442849108,0.4678401316008142
OOD,SimPEG L2,correlation,100,0.1641847295208407,0.2724392505433377,0.11012687160028173,0.21824258744139968
OOD,SimPEG L2,ssim,100,0.11367870334195451,0.15951193285078977,0.08202807522766938,0.14532933145623966
OOD,SimPEG L2,iou,45,0.07022765803604328,0.11651308477477584,0.03522325217475462,0.10523206389733195
OOD,Unconditional,rmse,100,0.38011528134346007,0.19472044585022652,0.3414785203958116,0.4187520422911085
OOD,Unconditional,correlation,100,0.3493331594123472,0.33992386089463744,0.28188489070876294,0.4167814281159315
OOD,Unconditional,ssim,100,0.18367228869272187,0.2109061931746472,0.1418239243235524,0.22552065306189134
OOD,Unconditional,iou,45,0.30450640060439765,0.2480309549810929,0.229989652282918,0.3790231489258773
OOD,Oracle conditional,rmse,100,0.3751911557465792,0.18853777348974415,0.3377811711293081,0.41260114036385026
OOD,Oracle conditional,correlation,100,0.3453761091849834,0.36846358608538665,0.27226493982968886,0.41848727854027795
OOD,Oracle conditional,ssim,100,0.23097607385806868,0.2676801800737553,0.17786251876746367,0.2840896289486737
OOD,Oracle conditional,iou,45,0.34059508320382,0.2748671820134264,0.2580158397158845,0.4231743266917555
OOD,Equal mixture,rmse,100,0.3748550947755575,0.18407573590129078,0.33833047522044896,0.41137971433066606
OOD,Equal mixture,correlation,100,0.33367212681308045,0.3203159586118871,0.2701144913189445,0.3972297623072164
OOD,Equal mixture,ssim,100,0.14757149134582323,0.17617428049517853,0.11261469196661587,0.18252829072503057
OOD,Equal mixture,iou,45,0.2188205974870088,0.24654999372074796,0.14474877918452375,0.2928924157894939
